,accession,time,primarydoc,form,url
140,0000320193-23-000032,2023-03-14,xslF345X03/wf-form4_167883306952487.xml,4,https://www.sec.gov/Archives/edgar/data/0000320193/000032019323000032/xslF345X03/wf-form4_167883306952487.xml
141,0000320193-23-000031,2023-03-14,xslF345X03/wf-form4_167883304133328.xml,4,https://www.sec.gov/Archives/edgar/data/0000320193/000032019323000031/xslF345X03/wf-form4_167883304133328.xml
142,0001140361-23-011192,2023-03-10,brhc10049413_8k.htm,8-K,https://www.sec.gov/Archives/edgar/data/0000320193/000114036123011192/brhc10049413_8k.htm
143,0001096906-23-000438,2023-02-22,nlpc_px14a6g.htm,PX14A6G,https://www.sec.gov/Archives/edgar/data/0000320193/000109690623000438/nlpc_px14a6g.htm
144,0001096906-23-000437,2023-02-22,nlpc_px14a6g.htm,PX14A6G,https://www.sec.gov/Archives/edgar/data/0000320193/000109690623000437/nlpc_px14a6g.htm
145,0001214659-23-002862,2023-02-22,f214237px14a6g.htm,PX14A6G,https://www.sec.gov/Archives/edgar/data/0000320193/000121465923002862/f214237px14a6g.htm
146,0001096906-23-000372,2023-02-14,nlpc_px14a6g.htm,PX14A6G,https://www.sec.gov/Archives/edgar/data/0000320193/000109690623000372/nlpc_px14a6g.htm
147,0001193125-23-038262,2023-02-14,d382361dsc13ga.htm,SC 13G/A,https://www.sec.gov/Archives/edgar/data/0000320193/000119312523038262/d382361dsc13ga.htm
148,0001104659-23-015055,2023-02-09,tv0017-appleinc.htm,SC 13G/A,https://www.sec.gov/Archives/edgar/data/0000320193/000110465923015055/tv0017-appleinc.htm
149,0001306550-23-008266,2023-02-07,us0378331005_020723.txt,SC 13G/A,https://www.sec.gov/Archives/edgar/data/0000320193/000130655023008266/us0378331005_020723.txt
150,0000320193-23-000022,2023-02-03,xslF345X03/wf-form4_167546747536649.xml,4,https://www.sec.gov/Archives/edgar/data/0000320193/000032019323000022/xslF345X03/wf-form4_167546747536649.xml
151,0000320193-23-000021,2023-02-03,xslF345X03/wf-form4_167546742335512.xml,4,https://www.sec.gov/Archives/edgar/data/0000320193/000032019323000021/xslF345X03/wf-form4_167546742335512.xml
152,0000320193-23-000020,2023-02-03,xslF345X03/wf-form4_167546736542524.xml,4,https://www.sec.gov/Archives/edgar/data/0000320193/000032019323000020/xslF345X03/wf-form4_167546736542524.xml
153,0000320193-23-000019,2023-02-03,xslF345X03/wf-form4_167546729886985.xml,4,https://www.sec.gov/Archives/edgar/data/0000320193/000032019323000019/xslF345X03/wf-form4_167546729886985.xml
154,0000320193-23-000018,2023-02-03,xslF345X03/wf-form4_167546724839309.xml,4,https://www.sec.gov/Archives/edgar/data/0000320193/000032019323000018/xslF345X03/wf-form4_167546724839309.xml
