Ticker,Name,Sector,Subsector,HQ,Added,CIK,Founded
DLR,Digital Realty,Real Estate,Data Center REITs,"Austin, Texas",5/18/16,1297996,2004
DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,"Chesapeake, Virginia",12/19/11,935703,1986
DOC,Healthpeak Properties,Real Estate,Health Care REITs,"Denver, Colorado",3/31/08,765880,1985
DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,"Downers Grove, Illinois",10/31/85,29905,1955
DOW,Dow Inc.,Materials,Commodity Chemicals,"Midland, Michigan",4/1/19,1751788,2019 (1897)
DPZ,Domino's,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",5/12/20,1286681,1960
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,"Orlando, Florida",5/31/95,940944,1938
DTE,DTE Energy,Utilities,Multi-Utilities,"Detroit, Michigan",3/4/57,936340,1995
DUK,Duke Energy,Utilities,Electric Utilities,"Charlotte, North Carolina",6/30/76,1326160,1904
DVA,DaVita,Health Care,Health Care Services,"Denver, Colorado",7/31/08,927066,1979
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",8/30/00,1090012,1971
DXCM,Dexcom,Health Care,Health Care Equipment,"San Diego, California",5/12/20,1093557,1999
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California",7/22/02,712515,1982
EBAY,eBay,Consumer Discretionary,Broadline Retail,"San Jose, California",7/22/02,1065088,1995
ECL,Ecolab,Materials,Specialty Chemicals,"Saint Paul, Minnesota",1/31/89,31462,1923
ED,Consolidated Edison,Utilities,Multi-Utilities,"New York City, New York",3/4/57,1047862,1823
EFX,Equifax,Industrials,Research & Consulting Services,"Atlanta, Georgia",6/19/97,33185,1899
EG,Everest Group,Financials,Reinsurance,"Hamilton, Bermuda",6/19/17,1095073,1973
EIX,Edison International,Utilities,Electric Utilities,"Rosemead, California",3/4/57,827052,1886
EL,Estée Lauder Companies (The),Consumer Staples,Personal Care Products,"New York City, New York",1/5/06,1001250,1946
ELV,Elevance Health,Health Care,Managed Health Care,"Indianapolis, Indiana",7/25/02,1156039,2014 (1946)
EMN,Eastman Chemical Company,Materials,Specialty Chemicals,"Kingsport, Tennessee",1/1/94,915389,1920
EMR,Emerson Electric,Industrials,Electrical Components & Equipment,"Ferguson, Missouri",3/31/65,32604,1890
ENPH,Enphase Energy,Information Technology,Semiconductor Materials & Equipment,"Fremont, California",1/7/21,1463101,2006
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,"Houston, Texas",11/2/00,821189,1999
EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,"Newtown, Pennsylvania",12/14/21,1352010,1993
EQIX,Equinix,Real Estate,Data Center REITs,"Redwood City, California",3/20/15,1101239,1998
EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,"Chicago, Illinois",12/3/01,906107,1969
EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,"Pittsburgh, Pennsylvania",10/3/22,33213,1888
ERIE,Erie Indemnity,Financials,Insurance Brokers,"Erie, Pennsylvania",9/23/24,922621,1925
ES,Eversource Energy,Utilities,Electric Utilities,"Hartford, Connecticut",7/24/09,72741,1966
ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,"San Mateo, California",4/2/14,920522,1971
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,"Dublin, Ireland",3/4/57,1551182,1911
ETR,Entergy,Utilities,Electric Utilities,"New Orleans, Louisiana",3/4/57,65984,1913
EVRG,Evergy,Utilities,Electric Utilities,"Kansas City, Missouri",6/5/18,1711269,1909
EW,Edwards Lifesciences,Health Care,Health Care Equipment,"Irvine, California",4/1/11,1099800,1958
EXC,Exelon,Utilities,Electric Utilities,"Chicago, Illinois",3/4/57,1109357,2000
EXPD,Expeditors International,Industrials,Air Freight & Logistics,"Seattle, Washington",10/10/07,746515,1979
EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Seattle, Washington",10/2/07,1324424,1996
EXR,Extra Space Storage,Real Estate,Self-Storage REITs,"Salt Lake City, Utah",1/19/16,1289490,1977
F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",3/4/57,37996,1903
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,"Midland, Texas",12/3/18,1539838,2007
FAST,Fastenal,Industrials,Trading Companies & Distributors,"Winona, Minnesota",9/15/08,815556,1967
FCX,Freeport-McMoRan,Materials,Copper,"Phoenix, Arizona",7/1/11,831259,1912
FDS,FactSet,Financials,Financial Exchanges & Data,"Norwalk, Connecticut",12/20/21,1013237,1978
FDX,FedEx,Industrials,Air Freight & Logistics,"Memphis, Tennessee",12/31/80,1048911,1971
FE,FirstEnergy,Utilities,Electric Utilities,"Akron, Ohio",11/28/97,1031296,1997
FFIV,"F5, Inc.",Information Technology,Communications Equipment,"Seattle, Washington",12/20/10,1048695,1996
FI,Fiserv,Financials,Transaction & Payment Processing Services,"Brookfield, Wisconsin",4/2/01,798354,1984
FICO,Fair Isaac,Information Technology,Application Software,"Bozeman, Montana",3/20/23,814547,1956
FIS,Fidelity National Information Services,Financials,Transaction & Payment Processing Services,"Jacksonville, Florida",11/10/06,1136893,1968
FITB,Fifth Third Bancorp,Financials,Regional Banks,"Cincinnati, Ohio",3/29/96,35527,1858
FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,"Philadelphia, Pennsylvania",8/19/09,37785,1883
FOX,Fox Corporation (Class B),Communication Services,Broadcasting,"New York City, New York",3/4/19,1754301,2019
FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,"New York City, New York",3/4/19,1754301,2019
FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,"Rockville, Maryland",2/1/16,34903,1962
FSLR,First Solar,Information Technology,Semiconductors,"Tempe, Arizona",12/19/22,1274494,1999
FTNT,Fortinet,Information Technology,Systems Software,"Sunnyvale, California",10/11/18,1262039,2000
FTV,Fortive,Industrials,Industrial Machinery & Supplies & Components,"Everett, Washington",7/1/16,1659166,2016
GD,General Dynamics,Industrials,Aerospace & Defense,"Falls Church, Virginia",3/4/57,40533,1899
GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,"Tempe, Arizona",6/24/24,1609711,1997
GE,GE Aerospace,Industrials,Aerospace & Defense,"Evendale, Ohio",3/4/57,40545,1892
GEHC,GE HealthCare,Health Care,Health Care Equipment,"Chicago, Illinois",1/4/23,1932393,1994
GEN,Gen Digital,Information Technology,Systems Software,"Tempe, Arizona",3/25/03,849399,1982
GEV,GE Vernova,Industrials,Heavy Electrical Equipment,"Cambridge, Massachusetts",4/2/24,1996810,2024
GILD,Gilead Sciences,Health Care,Biotechnology,"Foster City, California",7/1/04,882095,1987
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",3/4/57,40704,1856
GL,Globe Life,Financials,Life & Health Insurance,"McKinney, Texas",4/30/89,320335,1900
GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",2/27/95,24741,1851
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",6/6/13,1467858,1908
GNRC,Generac,Industrials,Electrical Components & Equipment,"Waukesha, Wisconsin",3/22/21,1474735,1959
